node_id,timestamp,datetime_readable,raw_adc,nilai_mm_s,kelembapan_pct,rssi,status
NODE_01,1784103138,2026-07-15 15:12:18,2301695,0.261,49.22,-50,AMAN
NODE_01,1784103198,2026-07-15 15:13:18,1243682,0.141,53.42,-45,AMAN
NODE_01,1784103258,2026-07-15 15:14:18,3385976,0.384,46.6,-73,AMAN
NODE_01,1784103318,2026-07-15 15:15:18,1499791,0.17,53.22,-79,AMAN
NODE_01,1784103378,2026-07-15 15:16:18,3855137,0.437,49.8,-50,AMAN
NODE_01,1784103438,2026-07-15 15:17:18,0,0.0,47.91,-57,AMAN
NODE_01,1784103498,2026-07-15 15:18:18,1314040,0.149,47.99,-83,AMAN
NODE_01,1784103558,2026-07-15 15:19:18,297942,0.034,49.1,-81,AMAN
NODE_01,1784103618,2026-07-15 15:20:18,2064096,0.234,45.0,-75,AMAN
NODE_01,1784103678,2026-07-15 15:21:18,2090187,0.237,42.21,-56,AMAN
NODE_01,1784103738,2026-07-15 15:22:18,3410610,0.386,52.34,-57,AMAN
NODE_01,1784103798,2026-07-15 15:23:18,2225125,0.252,44.27,-58,AMAN
NODE_01,1784103858,2026-07-15 15:24:18,1891726,0.214,49.0,-79,AMAN
NODE_01,1784103918,2026-07-15 15:25:18,2083966,0.236,52.5,-74,AMAN
NODE_01,1784103978,2026-07-15 15:26:18,1572190,0.178,47.69,-61,AMAN
NODE_01,1784104038,2026-07-15 15:27:18,417378,0.047,48.21,-57,AMAN
NODE_01,1784104098,2026-07-15 15:28:18,4707340,0.533,51.18,-47,AMAN
NODE_01,1784104158,2026-07-15 15:29:18,927644,0.105,40.03,-48,AMAN
NODE_01,1784104218,2026-07-15 15:30:18,2284177,0.259,41.24,-65,AMAN
NODE_01,1784104278,2026-07-15 15:31:18,404016,0.046,42.37,-70,AMAN
NODE_01,1784104338,2026-07-15 15:32:18,3770046,0.427,44.99,-76,AMAN
NODE_01,1784104398,2026-07-15 15:33:18,2627087,0.298,52.36,-72,AMAN
NODE_01,1784104458,2026-07-15 15:34:18,1282494,0.145,44.73,-52,AMAN
NODE_01,1784104518,2026-07-15 15:35:18,2104595,0.238,46.04,-80,AMAN
NODE_01,1784104578,2026-07-15 15:36:18,4204052,0.476,41.22,-79,AMAN
NODE_01,1784104638,2026-07-15 15:37:18,4735290,0.536,46.28,-58,AMAN
NODE_01,1784104698,2026-07-15 15:38:18,1014693,0.115,51.8,-81,AMAN
NODE_01,1784104758,2026-07-15 15:39:18,3685267,0.418,51.14,-76,AMAN
NODE_01,1784104818,2026-07-15 15:40:18,2719399,0.308,45.43,-60,AMAN
NODE_01,1784104878,2026-07-15 15:41:18,1000318,0.113,46.3,-54,AMAN
NODE_01,1784104938,2026-07-15 15:42:18,4253417,0.482,43.57,-49,AMAN
NODE_01,1784104998,2026-07-15 15:43:18,2181505,0.247,49.01,-45,AMAN
NODE_01,1784105058,2026-07-15 15:44:18,2953896,0.335,53.41,-46,AMAN
NODE_01,1784105118,2026-07-15 15:45:18,2276383,0.258,45.13,-83,AMAN
NODE_01,1784105178,2026-07-15 15:46:18,2834637,0.321,54.73,-80,AMAN
NODE_01,1784105238,2026-07-15 15:47:18,4096207,0.464,42.06,-84,AMAN
NODE_01,1784105298,2026-07-15 15:48:18,2456823,0.278,45.57,-75,AMAN
NODE_01,1784105358,2026-07-15 15:49:18,27519,0.003,49.55,-50,AMAN
NODE_01,1784105418,2026-07-15 15:50:18,1953103,0.221,48.15,-53,AMAN
NODE_01,1784105478,2026-07-15 15:51:18,4962847,0.562,48.8,-54,AMAN
NODE_01,1784105538,2026-07-15 15:52:18,563015,0.064,43.5,-74,AMAN
NODE_01,1784105598,2026-07-15 15:53:18,708271,0.08,49.16,-71,AMAN
NODE_01,1784105658,2026-07-15 15:54:18,4756663,0.539,46.28,-47,AMAN
NODE_01,1784105718,2026-07-15 15:55:18,2154429,0.244,51.79,-60,AMAN
NODE_01,1784105778,2026-07-15 15:56:18,2613667,0.296,44.23,-61,AMAN
NODE_01,1784105838,2026-07-15 15:57:18,3612848,0.409,52.77,-80,AMAN
NODE_01,1784105898,2026-07-15 15:58:18,1930639,0.219,41.51,-75,AMAN
NODE_01,1784105958,2026-07-15 15:59:18,1452592,0.165,48.49,-68,AMAN
NODE_01,1784106018,2026-07-15 16:00:18,4740073,0.537,52.76,-77,AMAN
NODE_01,1784106078,2026-07-15 16:01:18,2840921,0.322,42.07,-71,AMAN
NODE_01,1784106138,2026-07-15 16:02:18,2788168,0.316,51.7,-78,AMAN
NODE_01,1784106198,2026-07-15 16:03:18,2539860,0.288,46.1,-58,AMAN
NODE_01,1784106258,2026-07-15 16:04:18,1819607,0.206,45.37,-60,AMAN
NODE_01,1784106318,2026-07-15 16:05:18,4373063,0.495,48.98,-78,AMAN
NODE_01,1784106378,2026-07-15 16:06:18,2227326,0.252,53.57,-77,AMAN
NODE_01,1784106438,2026-07-15 16:07:18,3116860,0.353,47.84,-49,AMAN
NODE_01,1784106498,2026-07-15 16:08:18,2271994,0.257,48.99,-57,AMAN
NODE_01,1784106558,2026-07-15 16:09:18,3835278,0.435,40.9,-62,AMAN
NODE_01,1784106618,2026-07-15 16:10:18,3389344,0.384,49.41,-50,AMAN
NODE_01,1784106678,2026-07-15 16:11:18,2228934,0.253,40.11,-68,AMAN
NODE_01,1784106738,2026-07-15 16:12:18,2546845,0.289,45.99,-84,AMAN
NODE_01,1784106798,2026-07-15 16:13:18,4081081,0.462,47.13,-74,AMAN
NODE_01,1784106858,2026-07-15 16:14:18,6032231,0.683,40.79,-70,AMAN
NODE_01,1784106918,2026-07-15 16:15:18,1160922,0.132,39.89,-62,AMAN
NODE_01,1784106978,2026-07-15 16:16:18,1256093,0.142,45.98,-46,AMAN
NODE_01,1784107038,2026-07-15 16:17:18,3031730,0.343,49.54,-78,AMAN
NODE_01,1784107098,2026-07-15 16:18:18,642849,0.073,49.95,-64,AMAN
NODE_01,1784107158,2026-07-15 16:19:18,2440686,0.277,41.98,-73,AMAN
NODE_01,1784107218,2026-07-15 16:20:18,1315477,0.149,44.14,-61,AMAN
NODE_01,1784107278,2026-07-15 16:21:18,4817945,0.546,44.04,-74,AMAN
NODE_01,1784107338,2026-07-15 16:22:18,948990,0.108,49.4,-70,AMAN
NODE_01,1784107398,2026-07-15 16:23:18,0,0.0,52.03,-59,AMAN
NODE_01,1784107458,2026-07-15 16:24:18,4759997,0.539,54.0,-45,AMAN
NODE_01,1784107518,2026-07-15 16:25:18,5937325,0.673,47.46,-82,AMAN
NODE_01,1784107578,2026-07-15 16:26:18,3303553,0.374,44.45,-67,AMAN
NODE_01,1784107638,2026-07-15 16:27:18,2162251,0.245,39.51,-51,AMAN
NODE_01,1784107698,2026-07-15 16:28:18,2918058,0.331,42.87,-77,AMAN
NODE_01,1784107758,2026-07-15 16:29:18,3453617,0.391,46.01,-63,AMAN
NODE_01,1784107818,2026-07-15 16:30:18,5500926,0.623,49.26,-69,AMAN
NODE_01,1784107878,2026-07-15 16:31:18,5415413,0.614,40.66,-80,AMAN
NODE_01,1784107938,2026-07-15 16:32:18,4163267,0.472,40.08,-62,AMAN
NODE_01,1784107998,2026-07-15 16:33:18,4092687,0.464,40.88,-84,AMAN
NODE_01,1784108058,2026-07-15 16:34:18,1204631,0.136,47.35,-76,AMAN
NODE_01,1784108118,2026-07-15 16:35:18,2585617,0.293,41.38,-60,AMAN
NODE_01,1784108178,2026-07-15 16:36:18,102889,0.012,40.92,-62,AMAN
NODE_01,1784108238,2026-07-15 16:37:18,2295594,0.26,42.1,-46,AMAN
NODE_01,1784108298,2026-07-15 16:38:18,2748897,0.311,44.42,-69,AMAN
NODE_01,1784108358,2026-07-15 16:39:18,4817561,0.546,43.82,-56,AMAN
NODE_01,1784108418,2026-07-15 16:40:18,5432222,0.615,43.49,-77,AMAN
NODE_01,1784108478,2026-07-15 16:41:18,2654456,0.301,47.5,-75,AMAN
NODE_01,1784108538,2026-07-15 16:42:18,2609399,0.296,43.05,-76,AMAN
NODE_01,1784108598,2026-07-15 16:43:18,3178997,0.36,46.99,-72,AMAN
NODE_01,1784108658,2026-07-15 16:44:18,4420724,0.501,41.82,-65,AMAN
NODE_01,1784108718,2026-07-15 16:45:18,2727278,0.309,41.77,-71,AMAN
NODE_01,1784108778,2026-07-15 16:46:18,1567305,0.178,54.1,-85,AMAN
NODE_01,1784108838,2026-07-15 16:47:18,5554918,0.629,54.34,-71,AMAN
NODE_01,1784108898,2026-07-15 16:48:18,2212320,0.251,49.86,-63,AMAN
NODE_01,1784108958,2026-07-15 16:49:18,1836595,0.208,47.75,-79,AMAN
NODE_01,1784109018,2026-07-15 16:50:18,4131964,0.468,43.52,-57,AMAN
NODE_01,1784109078,2026-07-15 16:51:18,2948105,0.334,40.59,-56,AMAN
NODE_01,1784109138,2026-07-15 16:52:18,948436,0.107,50.26,-71,AMAN
NODE_01,1784109198,2026-07-15 16:53:18,1970532,0.223,43.27,-50,AMAN
NODE_01,1784109258,2026-07-15 16:54:18,4667688,0.529,39.6,-46,AMAN
NODE_01,1784109318,2026-07-15 16:55:18,2355249,0.267,41.43,-48,AMAN
NODE_01,1784109378,2026-07-15 16:56:18,5214254,0.591,47.16,-53,AMAN
NODE_01,1784109438,2026-07-15 16:57:18,5144494,0.583,45.01,-49,AMAN
NODE_01,1784109498,2026-07-15 16:58:18,1597771,0.181,46.52,-80,AMAN
NODE_01,1784109558,2026-07-15 16:59:18,1396283,0.158,43.77,-54,AMAN
NODE_01,1784109618,2026-07-15 17:00:18,0,0.0,49.76,-66,AMAN
NODE_01,1784109678,2026-07-15 17:01:18,1725090,0.195,44.58,-63,AMAN
NODE_01,1784109738,2026-07-15 17:02:18,2781475,0.315,45.12,-48,AMAN
NODE_01,1784109798,2026-07-15 17:03:18,453186,0.051,54.04,-78,AMAN
NODE_01,1784109858,2026-07-15 17:04:18,4673929,0.53,41.22,-73,AMAN
NODE_01,1784109918,2026-07-15 17:05:18,2970191,0.337,43.5,-82,AMAN
NODE_01,1784109978,2026-07-15 17:06:18,4149406,0.47,49.85,-81,AMAN
NODE_01,1784110038,2026-07-15 17:07:18,1413993,0.16,46.48,-62,AMAN
NODE_01,1784110098,2026-07-15 17:08:18,83247,0.009,45.77,-65,AMAN
NODE_01,1784110158,2026-07-15 17:09:18,5273441,0.597,50.36,-77,AMAN
NODE_01,1784110218,2026-07-15 17:10:18,1162043,0.132,43.35,-70,AMAN
NODE_01,1784110278,2026-07-15 17:11:18,4340004,0.492,46.02,-58,AMAN
NODE_01,1784110338,2026-07-15 17:12:18,1575881,0.179,39.84,-70,AMAN
NODE_01,1784110398,2026-07-15 17:13:18,0,0.0,40.28,-69,AMAN
NODE_01,1784110458,2026-07-15 17:14:18,1972781,0.224,47.23,-81,AMAN
NODE_01,1784110518,2026-07-15 17:15:18,0,0.0,51.77,-79,AMAN
NODE_01,1784110578,2026-07-15 17:16:18,4190516,0.475,46.17,-78,AMAN
NODE_01,1784110638,2026-07-15 17:17:18,2635789,0.299,47.87,-80,AMAN
NODE_01,1784110698,2026-07-15 17:18:18,2758509,0.313,52.06,-77,AMAN
NODE_01,1784110758,2026-07-15 17:19:18,906047,0.103,43.94,-56,AMAN
NODE_01,1784110818,2026-07-15 17:20:18,4206302,0.477,40.77,-53,AMAN
NODE_01,1784110878,2026-07-15 17:21:18,4533128,0.514,41.78,-58,AMAN
NODE_01,1784110938,2026-07-15 17:22:18,5227563,0.592,43.29,-57,AMAN
NODE_01,1784110998,2026-07-15 17:23:18,3726779,0.422,46.11,-55,AMAN
NODE_01,1784111058,2026-07-15 17:24:18,2946724,0.334,46.81,-61,AMAN
NODE_01,1784111118,2026-07-15 17:25:18,4046735,0.458,41.89,-83,AMAN
NODE_01,1784111178,2026-07-15 17:26:18,2598815,0.294,40.5,-74,AMAN
NODE_01,1784111238,2026-07-15 17:27:18,143754,0.016,50.44,-65,AMAN
NODE_01,1784111298,2026-07-15 17:28:18,1342607,0.152,41.64,-64,AMAN
NODE_01,1784111358,2026-07-15 17:29:18,2019459,0.229,44.23,-49,AMAN
NODE_01,1784111418,2026-07-15 17:30:18,2145756,0.243,46.44,-69,AMAN
NODE_01,1784111478,2026-07-15 17:31:18,1560664,0.177,45.09,-54,AMAN
NODE_01,1784111538,2026-07-15 17:32:18,723210,0.082,40.56,-67,AMAN
NODE_01,1784111598,2026-07-15 17:33:18,258688,0.029,51.53,-57,AMAN
NODE_01,1784111658,2026-07-15 17:34:18,3570107,0.404,39.78,-71,AMAN
NODE_01,1784111718,2026-07-15 17:35:18,930675,0.105,54.66,-76,AMAN
NODE_01,1784111778,2026-07-15 17:36:18,0,0.0,45.24,-83,AMAN
NODE_01,1784111838,2026-07-15 17:37:18,3563337,0.404,42.01,-57,AMAN
NODE_01,1784111898,2026-07-15 17:38:18,3316996,0.376,43.89,-78,AMAN
NODE_01,1784111958,2026-07-15 17:39:18,4907394,0.556,40.47,-77,AMAN
NODE_01,1784112018,2026-07-15 17:40:18,1357735,0.154,53.37,-67,AMAN
NODE_01,1784112078,2026-07-15 17:41:18,473634,0.054,51.85,-67,AMAN
NODE_01,1784112138,2026-07-15 17:42:18,5231959,0.593,42.73,-68,AMAN
NODE_01,1784112198,2026-07-15 17:43:18,1389218,0.157,49.66,-51,AMAN
NODE_01,1784112258,2026-07-15 17:44:18,3449052,0.391,40.24,-62,AMAN
NODE_01,1784112318,2026-07-15 17:45:18,1070378,0.121,54.73,-79,AMAN
NODE_01,1784112378,2026-07-15 17:46:18,3037523,0.344,46.93,-85,AMAN
NODE_01,1784112438,2026-07-15 17:47:18,2777433,0.315,47.8,-67,AMAN
NODE_01,1784112498,2026-07-15 17:48:18,2634047,0.298,50.17,-66,AMAN
NODE_01,1784112558,2026-07-15 17:49:18,3111316,0.353,41.81,-50,AMAN
NODE_01,1784112618,2026-07-15 17:50:18,4046932,0.459,50.52,-59,AMAN
NODE_01,1784112678,2026-07-15 17:51:18,1997515,0.226,51.9,-73,AMAN
NODE_01,1784112738,2026-07-15 17:52:18,5315626,0.602,40.44,-58,AMAN
NODE_01,1784112798,2026-07-15 17:53:18,5811549,0.658,53.66,-80,AMAN
NODE_01,1784112858,2026-07-15 17:54:18,2729830,0.309,42.28,-50,AMAN
NODE_01,1784112918,2026-07-15 17:55:18,1385022,0.157,46.45,-62,AMAN
NODE_01,1784112978,2026-07-15 17:56:18,2537786,0.288,53.57,-52,AMAN
NODE_01,1784113038,2026-07-15 17:57:18,2613072,0.296,44.07,-63,AMAN
NODE_01,1784113098,2026-07-15 17:58:18,2342089,0.265,51.54,-81,AMAN
NODE_01,1784113158,2026-07-15 17:59:18,4109091,0.466,39.45,-49,AMAN
NODE_01,1784113218,2026-07-15 18:00:18,2694990,0.305,42.94,-60,AMAN
NODE_01,1784113278,2026-07-15 18:01:18,1137175,0.129,50.32,-85,AMAN
NODE_01,1784113338,2026-07-15 18:02:18,1397297,0.158,52.58,-77,AMAN
NODE_01,1784113398,2026-07-15 18:03:18,1283635,0.145,46.59,-67,AMAN
NODE_01,1784113458,2026-07-15 18:04:18,3892974,0.441,46.45,-70,AMAN
NODE_01,1784113518,2026-07-15 18:05:18,0,0.0,49.43,-59,AMAN
NODE_01,1784113578,2026-07-15 18:06:18,1905029,0.216,50.68,-45,AMAN
NODE_01,1784113638,2026-07-15 18:07:18,3391736,0.384,51.3,-85,AMAN
NODE_01,1784113698,2026-07-15 18:08:18,224128,0.025,42.27,-69,AMAN
NODE_01,1784113758,2026-07-15 18:09:18,149502,0.017,49.57,-49,AMAN
NODE_01,1784113818,2026-07-15 18:10:18,3794831,0.43,54.61,-70,AMAN
NODE_01,1784113878,2026-07-15 18:11:18,3207354,0.363,40.49,-58,AMAN
NODE_01,1784113938,2026-07-15 18:12:18,1191291,0.135,44.17,-46,AMAN
NODE_01,1784113998,2026-07-15 18:13:18,0,0.0,42.98,-85,AMAN
NODE_01,1784114058,2026-07-15 18:14:18,3141469,0.356,42.06,-76,AMAN
NODE_01,1784114118,2026-07-15 18:15:18,2921694,0.331,47.44,-47,AMAN
NODE_01,1784114178,2026-07-15 18:16:18,1773932,0.201,47.57,-52,AMAN
NODE_01,1784114238,2026-07-15 18:17:18,3248465,0.368,47.81,-50,AMAN
NODE_01,1784114298,2026-07-15 18:18:18,2910889,0.33,44.79,-65,AMAN
NODE_01,1784114358,2026-07-15 18:19:18,2067921,0.234,49.55,-63,AMAN
NODE_01,1784114418,2026-07-15 18:20:18,1930008,0.219,54.76,-62,AMAN
NODE_01,1784114478,2026-07-15 18:21:18,3267499,0.37,41.06,-50,AMAN
NODE_01,1784114538,2026-07-15 18:22:18,3623458,0.411,48.13,-47,AMAN
NODE_01,1784114598,2026-07-15 18:23:18,4366703,0.495,43.45,-64,AMAN
NODE_01,1784114658,2026-07-15 18:24:18,1288686,0.146,40.46,-71,AMAN
NODE_01,1784114718,2026-07-15 18:25:18,1319712,0.15,42.49,-85,AMAN
NODE_01,1784114778,2026-07-15 18:26:18,4093864,0.464,47.99,-67,AMAN
NODE_01,1784114838,2026-07-15 18:27:18,1232695,0.14,52.04,-74,AMAN
NODE_01,1784114898,2026-07-15 18:28:18,4060874,0.46,44.13,-46,AMAN
NODE_01,1784114958,2026-07-15 18:29:18,2342003,0.265,47.2,-50,AMAN
NODE_01,1784115018,2026-07-15 18:30:18,4757447,0.539,52.44,-73,AMAN
NODE_01,1784115078,2026-07-15 18:31:18,0,0.0,44.52,-77,AMAN
NODE_01,1784115138,2026-07-15 18:32:18,2445417,0.277,49.05,-72,AMAN
NODE_01,1784115198,2026-07-15 18:33:18,4204414,0.476,40.23,-53,AMAN
NODE_01,1784115258,2026-07-15 18:34:18,4137832,0.469,50.46,-67,AMAN
NODE_01,1784115318,2026-07-15 18:35:18,2479909,0.281,52.28,-81,AMAN
NODE_01,1784115378,2026-07-15 18:36:18,2274558,0.258,41.82,-81,AMAN
NODE_01,1784115438,2026-07-15 18:37:18,3128452,0.354,42.99,-49,AMAN
NODE_01,1784115498,2026-07-15 18:38:18,2503280,0.284,46.63,-84,AMAN
NODE_01,1784115558,2026-07-15 18:39:18,2931731,0.332,43.44,-68,AMAN
NODE_01,1784115618,2026-07-15 18:40:18,1037713,0.118,54.11,-54,AMAN
NODE_01,1784115678,2026-07-15 18:41:18,5117256,0.58,48.01,-77,AMAN
NODE_01,1784115738,2026-07-15 18:42:18,813998,0.092,42.24,-61,AMAN
NODE_01,1784115798,2026-07-15 18:43:18,2277237,0.258,41.44,-82,AMAN
NODE_01,1784115858,2026-07-15 18:44:18,819334,0.093,53.04,-57,AMAN
NODE_01,1784115918,2026-07-15 18:45:18,0,0.0,51.17,-79,AMAN
NODE_01,1784115978,2026-07-15 18:46:18,388536,0.044,39.6,-65,AMAN
NODE_01,1784116038,2026-07-15 18:47:18,2248422,0.255,45.75,-62,AMAN
NODE_01,1784116098,2026-07-15 18:48:18,1703360,0.193,52.1,-54,AMAN
NODE_01,1784116158,2026-07-15 18:49:18,2547345,0.289,40.12,-58,AMAN
NODE_01,1784116218,2026-07-15 18:50:18,3969827,0.45,48.88,-47,AMAN
NODE_01,1784116278,2026-07-15 18:51:18,2971346,0.337,45.13,-68,AMAN
NODE_01,1784116338,2026-07-15 18:52:18,3965146,0.449,46.0,-55,AMAN
NODE_01,1784116398,2026-07-15 18:53:18,3746238,0.424,43.77,-85,AMAN
NODE_01,1784116458,2026-07-15 18:54:18,285392,0.032,50.83,-55,AMAN
NODE_01,1784116518,2026-07-15 18:55:18,3229823,0.366,49.2,-67,AMAN
NODE_01,1784116578,2026-07-15 18:56:18,3266179,0.37,49.75,-75,AMAN
NODE_01,1784116638,2026-07-15 18:57:18,4846787,0.549,54.39,-71,AMAN
NODE_01,1784116698,2026-07-15 18:58:18,3775281,0.428,49.6,-81,AMAN
NODE_01,1784116758,2026-07-15 18:59:18,3277171,0.371,48.63,-77,AMAN
NODE_01,1784116818,2026-07-15 19:00:18,3104363,0.352,51.51,-65,AMAN
NODE_01,1784116878,2026-07-15 19:01:18,2944719,0.334,52.57,-85,AMAN
NODE_01,1784116938,2026-07-15 19:02:18,1597191,0.181,46.91,-82,AMAN
NODE_01,1784116998,2026-07-15 19:03:18,1124245,0.127,54.02,-50,AMAN
NODE_01,1784117058,2026-07-15 19:04:18,667912,0.076,51.24,-68,AMAN
NODE_01,1784117118,2026-07-15 19:05:18,1017455,0.115,41.68,-76,AMAN
NODE_01,1784117178,2026-07-15 19:06:18,74887,0.008,48.0,-78,AMAN
NODE_01,1784117238,2026-07-15 19:07:18,4774413,0.541,44.08,-59,AMAN
NODE_01,1784117298,2026-07-15 19:08:18,2190777,0.248,41.25,-83,AMAN
NODE_01,1784117358,2026-07-15 19:09:18,2267635,0.257,50.17,-72,AMAN
NODE_01,1784117418,2026-07-15 19:10:18,2934309,0.332,50.56,-59,AMAN
NODE_01,1784117478,2026-07-15 19:11:18,2331451,0.264,54.55,-81,AMAN
NODE_01,1784117538,2026-07-15 19:12:18,1746066,0.198,45.03,-48,AMAN
NODE_01,1784117598,2026-07-15 19:13:18,1397944,0.158,42.09,-77,AMAN
NODE_01,1784117658,2026-07-15 19:14:18,793383,0.09,42.33,-61,AMAN
NODE_01,1784117718,2026-07-15 19:15:18,4827305,0.547,45.05,-66,AMAN
NODE_01,1784117778,2026-07-15 19:16:18,2571918,0.291,50.67,-71,AMAN
NODE_01,1784117838,2026-07-15 19:17:18,1803309,0.204,40.91,-59,AMAN
NODE_01,1784117898,2026-07-15 19:18:18,2889723,0.327,54.39,-83,AMAN
NODE_01,1784117958,2026-07-15 19:19:18,1247960,0.141,39.88,-59,AMAN
NODE_01,1784118018,2026-07-15 19:20:18,2962612,0.336,52.22,-76,AMAN
NODE_01,1784118078,2026-07-15 19:21:18,3070963,0.348,44.75,-85,AMAN
NODE_01,1784118138,2026-07-15 19:22:18,1335776,0.151,54.0,-57,AMAN
NODE_01,1784118198,2026-07-15 19:23:18,3744083,0.424,44.25,-85,AMAN
NODE_01,1784118258,2026-07-15 19:24:18,3279311,0.372,49.98,-84,AMAN
NODE_01,1784118318,2026-07-15 19:25:18,3857690,0.437,45.58,-55,AMAN
NODE_01,1784118378,2026-07-15 19:26:18,2167432,0.246,43.02,-59,AMAN
NODE_01,1784118438,2026-07-15 19:27:18,1875443,0.212,42.23,-85,AMAN
NODE_01,1784118498,2026-07-15 19:28:18,4834518,0.548,51.67,-62,AMAN
NODE_01,1784118558,2026-07-15 19:29:18,3231209,0.366,50.13,-48,AMAN
NODE_01,1784118618,2026-07-15 19:30:18,3664045,0.415,49.96,-62,AMAN
NODE_01,1784118678,2026-07-15 19:31:18,2322046,0.263,42.0,-50,AMAN
NODE_01,1784118738,2026-07-15 19:32:18,3065361,0.347,43.29,-53,AMAN
NODE_01,1784118798,2026-07-15 19:33:18,4917208,0.557,46.09,-85,AMAN
NODE_01,1784118858,2026-07-15 19:34:18,1903394,0.216,51.4,-83,AMAN
NODE_01,1784118918,2026-07-15 19:35:18,2033962,0.23,52.74,-76,AMAN
NODE_01,1784118978,2026-07-15 19:36:18,1563651,0.177,43.21,-72,AMAN
NODE_01,1784119038,2026-07-15 19:37:18,2487037,0.282,43.79,-81,AMAN
NODE_01,1784119098,2026-07-15 19:38:18,1448814,0.164,52.86,-80,AMAN
NODE_01,1784119158,2026-07-15 19:39:18,2555995,0.29,51.21,-79,AMAN
NODE_01,1784119218,2026-07-15 19:40:18,5873265,0.665,41.04,-82,AMAN
NODE_01,1784119278,2026-07-15 19:41:18,209031,0.024,41.3,-83,AMAN
NODE_01,1784119338,2026-07-15 19:42:18,2619612,0.297,54.04,-49,AMAN
NODE_01,1784119398,2026-07-15 19:43:18,1695544,0.192,41.52,-74,AMAN
NODE_01,1784119458,2026-07-15 19:44:18,1516705,0.172,48.22,-70,AMAN
NODE_01,1784119518,2026-07-15 19:45:18,604508,0.068,45.11,-82,AMAN
NODE_01,1784119578,2026-07-15 19:46:18,679423,0.077,50.11,-60,AMAN
NODE_01,1784119638,2026-07-15 19:47:18,2480601,0.281,46.48,-82,AMAN
NODE_01,1784119698,2026-07-15 19:48:18,5512307,0.625,48.65,-57,AMAN
NODE_01,1784119758,2026-07-15 19:49:18,3030012,0.343,43.2,-56,AMAN
NODE_01,1784119818,2026-07-15 19:50:18,2824780,0.32,52.74,-47,AMAN
NODE_01,1784119878,2026-07-15 19:51:18,1177528,0.133,47.39,-76,AMAN
